p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
41.59045,43.73485,46.152825,49.3586,53.841,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF100
35.92395,37.2345,40.82715,43.054575,45.36365,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF50
0.05185,0.07687,0.21371,0.34533,0.73988,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF0
9.227455,14.395375,20.066805,23.571635,30.29767,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF100
4.82159,7.8931975,11.619545,12.86688,16.13164,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF50
65.81102,69.5186275,71.239615,73.67512,74.21729,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF0
73.787665,78.562975,91.07635,97.701535,104.283515,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF100
72.12427,78.01917,83.40359,85.80727,90.17592,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF50
32.96821,35.195895,36.23481,36.906255,37.314215,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF0
44.106475,50.105115,57.70955,60.48535,65.471325,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF100
38.88308,43.2915875,48.330825,48.9780625,52.103745,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF50
3.07155,3.122625,3.184,3.261275,3.353175,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF0
47.70475,56.0909875,60.63075,61.4756375,76.22605,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF100
25.52035,29.5698125,32.1192,32.4434125,39.8216,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF50
63.8884,65.8933,69.6036,74.698475,77.1826,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF0
