"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2015",194,239,3.06195,4.43906,2,770.675041610803,31,0.0107218263394036,10,1058.222,229,178,3.09642,3.5152,51,NA,72,NA,NA,1,NA,11053.38932,5239.6643,9517.57988,NA,1,NA,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",205,230,3.0224,4.95434,6,325.72755797162,4,0.0614846850232215,35,373.4847,195,128,3.24274,3.7354,67,NA,NA,NA,NA,NA,NA,11053.38932,5239.6643,9517.57988,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",207,228,3.182,5.30264,3,343.656121313445,16,0.0604649959914139,85,9540.3226,143,74,5.33486,26.67465,69,NA,113,139,NA,3,1,11053.38932,5239.6643,9517.57988,NA,3,1,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",193,182,0.07,0.17,4,2.72477480265671,4,0.922316049930768,98,7391.875,84,22,0.73771,1.07535,62,NA,86,79,NA,7,2,10065.45284,347.1308,6295.2698,NA,3,1,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",NA,222,NA,NA,6,1908.78088553212,4,0.143599203844847,10,54.3897,212,203,0.02,0.2034,9,NA,4,NA,NA,1,NA,10065.45284,347.1308,6295.2698,NA,1,NA,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",170,244,0.05,0.12816,6,346.766296850915,10,0.298469387755102,23,56.8279,221,NA,NA,NA,NA,NA,10,NA,NA,1,NA,10065.45284,347.1308,6295.2698,NA,1,NA,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",194,196,0.0098,0.07056,NA,NA,NA,0.403873308017683,42,271.0803,154,106,0,0.03605,48,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",252,197,0.02,0.04,NA,NA,NA,0.555956678700361,41,48.5325,156,132,0,0.02,24,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",294,170,0.02,0.06,NA,NA,NA,0.25,70,84.1968,100,17,0.01684,0.02,83,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",312,152,0.03,0.10765,3,37.8631356419427,50,0.395486388915992,35,14075.8196,117,19,0.06684,7.4832,98,113,113,113,1,4,1,10065.45284,347.1308,6295.2698,1,3,1,"F45B","Aggressive_non_Infiltration_WRP0_UBF0"
