"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
73.788265,78.5636,91.077075,97.7023225,104.284365,"Wet_BFL_Mag_10",22515824,"observed","SWMM
","GLEN"
83.45125,91.83625,108.6013,115.4146,131.22035,"Wet_BFL_Mag_50",22515824,"observed","SWMM
","GLEN"
40.5,46.5,56.5,65.75,100.5,"Wet_Tim",22515824,"observed","SWMM
","GLEN"
170,170,170,170,170,"Peak_Tim_10",22515824,"observed","SWMM
","GLEN"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515824,"observed","SWMM
","GLEN"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515824,"observed","SWMM
","GLEN"
1,1,1,1,1,"Peak_Dur_10",22515824,"observed","SWMM
","GLEN"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515824,"observed","SWMM
","GLEN"
1,1,1,1,1,"Peak_Dur_5",22515824,"observed","SWMM
","GLEN"
9249.15782,9249.15782,9249.15782,9249.15782,9249.15782,"Peak_10",22515824,"observed","SWMM
","GLEN"
3674.5249,3674.5249,3674.5249,3674.5249,3674.5249,"Peak_2",22515824,"observed","SWMM
","GLEN"
7631.21036,7631.21036,7631.21036,7631.21036,7631.21036,"Peak_5",22515824,"observed","SWMM
","GLEN"
1,1,1,1,1,"Peak_Fre_10",22515824,"observed","SWMM
","GLEN"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515824,"observed","SWMM
","GLEN"
1,1,1,1,1,"Peak_Fre_5",22515824,"observed","SWMM
","GLEN"
157.5,171.5,197.5,204.75,207.5,"DS_Dur_WS",22518274,"observed","SWMM
","LA1"
222.4,229.5,239,242.5,286.4,"DS_Tim",22518274,"observed","SWMM
","LA1"
117.9982,122.5421375,124.40595,131.7329875,141.36575,"DS_Mag_50",22518274,"observed","SWMM
","LA1"
134.624405,138.0270175,148.79792,177.399465,184.98486,"DS_Mag_90",22518274,"observed","SWMM
","LA1"
1.6,2.5,3,5,6.8,"FA_Dur",22518274,"observed","SWMM
","LA1"
326.479952158066,473.016579662538,764.670769963913,1504.30662538554,3386.62497075774,"FA_Mag",22518274,"observed","SWMM
","LA1"
3.6,4,8,13,22,"FA_Tim",22518274,"observed","SWMM
","LA1"
0.0137969652619722,0.0159094931565495,0.0234420125335671,0.0327452947647698,0.0384412536789939,"SP_ROC",22518274,"observed","SWMM
","LA1"
23.2,34.5,60,75.5,102.6,"SP_Dur",22518274,"observed","SWMM
","LA1"
970.4674,1371.14735,1622.6795,8076.003,12520.60918,"SP_Mag",22518274,"observed","SWMM
","LA1"
149.6,164.5,194,216.5,224.2,"SP_Tim",22518274,"observed","SWMM
","LA1"
45.5,82.5,120.5,166,179.5,"Wet_BFL_Dur",22518274,"observed","SWMM
","LA1"
117.585375,121.00052,132.11887,151.91217,157.675075,"Wet_BFL_Mag_10",22518274,"observed","SWMM
","LA1"
132.282475,135.505475,160.62725,189.131,207.2376,"Wet_BFL_Mag_50",22518274,"observed","SWMM
","LA1"
45.5,52,64,70,103,"Wet_Tim",22518274,"observed","SWMM
","LA1"
113,113,113,113,113,"Peak_Tim_10",22518274,"observed","SWMM
","LA1"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22518274,"observed","SWMM
","LA1"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Dur_10",22518274,"observed","SWMM
","LA1"
1,1,2,3.5,4.4,"Peak_Dur_2",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Dur_5",22518274,"observed","SWMM
","LA1"
20773.42774,20773.42774,20773.42774,20773.42774,20773.42774,"Peak_10",22518274,"observed","SWMM
","LA1"
7263.6584,7263.6584,7263.6584,7263.6584,7263.6584,"Peak_2",22518274,"observed","SWMM
","LA1"
16851.25722,16851.25722,16851.25722,16851.25722,16851.25722,"Peak_5",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Fre_10",22518274,"observed","SWMM
","LA1"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Fre_5",22518274,"observed","SWMM
","LA1"
107.5,158.5,185.5,198.25,201.5,"DS_Dur_WS",22515824,"observed","SWMM
","LA11"
226.6,233.5,274,290.5,321,"DS_Tim",22515824,"observed","SWMM
","LA11"
73.617225,76.4056375,80.7742,86.0392375,90.8244,"DS_Mag_50",22515824,"observed","SWMM
","LA11"
80.685855,83.3956325,88.628975,92.6144375,97.19736,"DS_Mag_90",22515824,"observed","SWMM
","LA11"
1,1.5,2,3,3.4,"FA_Dur",22515824,"observed","SWMM
","LA11"
256.648026339607,288.439027733433,307.452854328661,469.401294370659,1221.98290943933,"FA_Mag",22515824,"observed","SWMM
","LA11"
3.6,4,8,13,22,"FA_Tim",22515824,"observed","SWMM
","LA11"
0.0134429772943045,0.0158881581069809,0.0305384070438215,0.044741565713965,0.0511936726174071,"SP_ROC",22515824,"observed","SWMM
","LA11"
18,29,80,118.5,161,"SP_Dur",22515824,"observed","SWMM
","LA11"
556.13074,813.95065,2936.284,7719.4526,9415.75554,"SP_Mag",22515824,"observed","SWMM
","LA11"
149.6,164,195,210,224.2,"SP_Tim",22515824,"observed","SWMM
","LA11"
48,89.75,129,168.25,183.5,"Wet_BFL_Dur",22515824,"observed","SWMM
","LA11"
75.234215,79.971975,92.73505,99.259085,105.772045,"Wet_BFL_Mag_10",22515824,"observed","SWMM
","LA11"
84.929175,93.3144,110.066625,116.8859625,132.722825,"Wet_BFL_Mag_50",22515824,"observed","SWMM
","LA11"
40.5,46.5,56.5,65.75,100.5,"Wet_Tim",22515824,"observed","SWMM
","LA11"
170,170,170,170,170,"Peak_Tim_10",22515824,"observed","SWMM
","LA11"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515824,"observed","SWMM
","LA11"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Dur_10",22515824,"observed","SWMM
","LA11"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Dur_5",22515824,"observed","SWMM
","LA11"
