"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
3412.7717,3412.7717,3412.7717,3412.7717,3412.7717,"Peak_2",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
7320.08154,7320.08154,7320.08154,7320.08154,7320.08154,"Peak_5",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_10",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_5",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
186.5,197,207.5,219.5,247.5,"DS_Dur_WS",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
210.4,224.5,230,234.5,238.8,"DS_Tim",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
0.08465,0.1131,0.162925,0.1929875,0.34235,"DS_Mag_50",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
0.472785,0.6600125,0.81071,1.232345,1.50243,"DS_Mag_90",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2,3,3,3.4,"FA_Dur",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
134.299503939141,159.747724566827,192.762819014727,342.249556531484,1020.44052708425,"FA_Mag",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
3.6,4,8,13,22,"FA_Tim",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
